time,cpu_usage,ram_free,network_adapter,net_usage_up,net_usage_down
2025-03-04T13:24:50.209867+04:00,4,30,Ethernet 2,0,0
2025-03-04T13:24:50.209867+04:00,4,30,Ethernet 3,310,19173
2025-03-04T13:24:50.209867+04:00,4,30,Loopback Pseudo-Interface 1,0,0
2025-03-04T13:24:55.234402+04:00,5,30,Ethernet 2,0,0
2025-03-04T13:24:55.234402+04:00,5,30,Ethernet 3,273,19361
2025-03-04T13:24:55.234402+04:00,5,30,Loopback Pseudo-Interface 1,0,0
2025-03-04T13:25:00.248794+04:00,4,30,Ethernet 2,0,0
2025-03-04T13:25:00.248794+04:00,4,30,Ethernet 3,1920,24539
2025-03-04T13:25:00.248794+04:00,4,30,Loopback Pseudo-Interface 1,0,0
2025-03-04T13:25:05.266497+04:00,4,30,Ethernet 2,0,0
2025-03-04T13:25:05.267508+04:00,4,30,Ethernet 3,148,17697
2025-03-04T13:25:05.267508+04:00,4,30,Loopback Pseudo-Interface 1,0,0
2025-03-04T13:26:32.496250+04:00,6,30,Ethernet 2,0,0
2025-03-04T13:26:32.496250+04:00,6,30,Ethernet 3,481,22239
2025-03-04T13:26:32.496250+04:00,6,30,Loopback Pseudo-Interface 1,0,0
2025-03-04T13:26:37.516385+04:00,7,30,Ethernet 2,0,0
2025-03-04T13:26:37.516385+04:00,7,30,Ethernet 3,239,18052
2025-03-04T13:26:37.516385+04:00,7,30,Loopback Pseudo-Interface 1,0,0
2025-03-04T13:26:42.534468+04:00,4,30,Ethernet 2,0,0
2025-03-04T13:26:42.534468+04:00,4,30,Ethernet 3,436,22840
2025-03-04T13:26:42.535414+04:00,4,30,Loopback Pseudo-Interface 1,0,0
2025-03-04T13:26:47.556947+04:00,4,30,Ethernet 2,0,0
2025-03-04T13:26:47.556947+04:00,4,30,Ethernet 3,443,19448
2025-03-04T13:26:47.556947+04:00,4,30,Loopback Pseudo-Interface 1,0,0
2025-03-04T13:26:52.576626+04:00,3,30,Ethernet 2,0,0
2025-03-04T13:26:52.576626+04:00,3,30,Ethernet 3,478,15843
2025-03-04T13:26:52.576626+04:00,3,30,Loopback Pseudo-Interface 1,0,0
